GHZ;;;;;;;;;
FREQ.GHZ;;S11DB;S11A;S21DB;S21A;S12DB;S12A;S22DB;S22A
0.003221508;3221508;-1.661815;-0.5051545;-21.07102;-0.4155577;-21.10515;-0.4844544;-29.74191;-177.4352
0.00324151;3241510;-1.661522;-0.5055451;-21.06484;-0.3940116;-21.11314;-0.4253084;-29.73715;-177.4491
0.003261636;3261636;-1.65944;-0.510357;-21.06375;-0.4368;-21.10563;-0.4588201;-29.74258;-177.4244
0.003281887;3281887;-1.659811;-0.495186;-21.05894;-0.4439488;-21.11098;-0.4979929;-29.74067;-177.3607
0.003302264;3302264;-1.657805;-0.5115678;-21.06276;-0.507158;-21.11116;-0.4478382;-29.74378;-177.4076
0.003322767;3322767;-1.661779;-0.5130349;-21.06061;-0.4283147;-21.11176;-0.5008586;-29.74124;-177.3407
0.003343398;3343398;-1.659721;-0.5483245;-21.06666;-0.476105;-21.10678;-0.4727241;-29.73841;-177.3434
0.003364156;3364156;-1.662062;-0.5162274;-21.05704;-0.4057743;-21.11034;-0.4756267;-29.73935;-177.3177
0.003385044;3385044;-1.662151;-0.5241998;-21.0593;-0.4588038;-21.10988;-0.4719025;-29.73401;-177.2979
0.003406061;3406061;-1.65948;-0.537952;-21.06039;-0.574198;-21.11314;-0.4906781;-29.74457;-177.3167
0.003427209;3427209;-1.661776;-0.5338477;-21.0622;-0.4249072;-21.10596;-0.4844221;-29.73591;-177.2711
0.003448488;3448488;-1.662171;-0.5435582;-21.06082;-0.4533763;-21.10712;-0.4867399;-29.73718;-177.2361
0.003469899;3469899;-1.659977;-0.5339241;-21.06634;-0.5371103;-21.11256;-0.4724181;-29.73703;-177.2543
0.003491444;3491444;-1.659688;-0.5542668;-21.06731;-0.5538691;-21.10691;-0.5169914;-29.74133;-177.2123
0.003513122;3513122;-1.66143;-0.5590718;-21.06132;-0.4862726;-21.10587;-0.5323302;-29.74396;-177.1775
0.003534934;3534934;-1.66155;-0.5528199;-21.06102;-0.5848317;-21.11101;-0.51052;-29.74101;-177.2423
0.003556882;3556882;-1.661353;-0.5453878;-21.05493;-0.5474134;-21.10976;-0.5215497;-29.73758;-177.1959
0.003578966;3578966;-1.660472;-0.5536439;-21.05959;-0.4357261;-21.10981;-0.4976644;-29.74058;-177.1861
0.003601188;3601188;-1.659571;-0.5594499;-21.0602;-0.5273723;-21.10742;-0.5131682;-29.7318;-177.1278
0.003623547;3623547;-1.659235;-0.5617543;-21.06193;-0.4908502;-21.11173;-0.5301023;-29.73657;-177.151
0.003646045;3646045;-1.661109;-0.5763623;-21.06905;-0.4806213;-21.1084;-0.5219784;-29.74069;-177.0685
0.003668683;3668683;-1.658414;-0.5711865;-21.0635;-0.4605729;-21.10936;-0.5172465;-29.73954;-177.0799
0.003691461;3691461;-1.662594;-0.5671811;-21.05781;-0.6065104;-21.1113;-0.5224845;-29.73391;-177.08
0.003714381;3714381;-1.660039;-0.570562;-21.06163;-0.476328;-21.1081;-0.5705529;-29.73732;-177.0271
0.003737443;3737443;-1.662126;-0.5814402;-21.06908;-0.4393327;-21.10879;-0.5291866;-29.73784;-177.0392
0.003760649;3760649;-1.663025;-0.5776182;-21.06828;-0.4501003;-21.10829;-0.5294899;-29.7431;-177.026
0.003783998;3783998;-1.662122;-0.5871546;-21.05603;-0.5259613;-21.10994;-0.5018358;-29.73644;-176.9787
0.003807492;3807492;-1.661856;-0.5798715;-21.0565;-0.5332094;-21.11255;-0.5293109;-29.73521;-176.9912
0.003831133;3831133;-1.659251;-0.5811099;-21.06166;-0.508082;-21.10667;-0.5616587;-29.73828;-176.9498
0.00385492;3854920;-1.662608;-0.6001067;-21.06815;-0.5928034;-21.10571;-0.5458255;-29.73759;-176.915
0.003878854;3878854;-1.66109;-0.6128325;-21.06568;-0.5542787;-21.11113;-0.534836;-29.74232;-176.9494
0.003902938;3902938;-1.661794;-0.6250743;-21.0682;-0.5497265;-21.10573;-0.5514816;-29.73093;-176.8714
0.003927171;3927171;-1.661697;-0.6127958;-21.05881;-0.5788742;-21.1104;-0.5645366;-29.73026;-176.8735
0.003951554;3951554;-1.662983;-0.6372183;-21.06062;-0.5618602;-21.11055;-0.5665039;-29.7383;-176.8806
0.003976089;3976089;-1.661805;-0.6311749;-21.06466;-0.5323755;-21.10769;-0.5487428;-29.73119;-176.8577
0.004000776;4000776;-1.662819;-0.6269956;-21.06092;-0.5325963;-21.10932;-0.5862221;-29.72996;-176.8054
